Center Name,Legal Name,Building,Street,Borough,ZipCode,Phone,Permit Number,Permit Expiration,Status,Age Range,Maximum Capacity,Day Care ID,Program Type,Facility Type,Child Care Type,Building Identification Number,URL,Date Permitted,Actual,Violation Rate Percent,Average Violation Rate Percent,Total Educational Workers,Average Total Educational Workers,Public Health Hazard Violation Rate,Average Public Health Hazard Violation Rate,Critical Violation Rate,Average Critical Violation Rate,Inspection Date,Regulation Summary,Violation Category,Health Code Sub Section,Violation Status,Inspection Summary Result
THE NEW YORK INSTITUTE FOR SPECIAL EDUCATION,THE NEW YORK INSTITUTE FOR SPECIAL EDUCATION,985,ASTOR AVENUE,BRONX,10469,718-519-7000,5417,06/28/2024,Permitted,2 YEARS - 5 YEARS,147,DC14206,PRESCHOOL,GDC,Child Care - Pre School,2097375,www.nyise.org,03/04/1993,Y,50.0000,21.9050,31,11.9769,0,6.1285,50,18.9541,03/07/2023,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41(j),OPEN,Compliance Inspection of Open Violations - Reinspection Not Required
THE NEW YORK INSTITUTE FOR SPECIAL EDUCATION,THE NEW YORK INSTITUTE FOR SPECIAL EDUCATION,985,ASTOR AVENUE,BRONX,10469,718-519-7000,5417,06/28/2024,Permitted,2 YEARS - 5 YEARS,147,DC14206,PRESCHOOL,GDC,Child Care - Pre School,2097375,www.nyise.org,03/04/1993,Y,50.0000,21.9050,31,11.9769,0,6.1285,50,18.9541,03/07/2023,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41(j),OPEN,Compliance Inspection of Open Violations - Reinspection Not Required
ST. ANN'S  PRESCHOOL,ST. ANN'S PRE-SCHOOL,26,WILLOW PLACE,BROOKLYN,11201,718-624-2837,,01/23/2115,Active,2 YEARS - 5 YEARS,70,DC1767,PRESCHOOL,SBCC,School Based Child Care,3002274,www.saintannsny.org,,,0.0000,45.1817,8,8.0094,0,23.3017,0,35.2291,11/12/2021,School-based child care staff observed caring for children while unhealthy. Staff medical certificate of fitness Not provided.,GENERAL,43.11(b),CORRECTED,Initial Annual Inspection - Reinspection Not Required
POLIS,GUIDEPOST MONTESSORI AT MUSEUM MILE,12,EAST   79 STREET,MANHATTAN,10075,917-388-1710,,01/01/1900,Active,3 YEARS - 5 YEARS,0,DC37702,PRESCHOOL,SBCC,School Based Child Care,1041889,polis.school,,,50.0000,45.1817,0,8.0094,0,23.3017,50,35.2291,09/30/2022,Child Medical record are DOHMH property when health care provider provided by DOHMH,GENERAL,43.17(f),CORRECTED,Initial Annual Inspection - Reinspection Required
"MONTESSORI PROGRESSIVE LEARNING CENTER, INC.",MONTESSORI PROGRESSIVE LEARNING CENTER INC,195-05,LINDEN BOULEVARD,QUEENS,11412,718-723-3967,7019,05/07/2024,Permitted,2 YEARS - 5 YEARS,76,DC10897,PRESCHOOL,GDC,Child Care - Pre School,4238357,,05/06/2004,N,100.0000,21.9050,6,11.9769,0,6.1285,100,18.9541,05/10/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,
"SPUYTEN DUYVIL PRESCHOOL, INC.","SPUYTEN DUYVIL PRESCHOOL, INC.",3041,KINGSBRIDGE AVENUE,BRONX,10463,718-549-1525,3088,04/06/2024,Permitted,2 YEARS - 5 YEARS,49,DC252,PRESCHOOL,GDC,Child Care - Pre School,2083194,www.spuytenduyvilpreschool.org,04/01/2004,N,0.0000,21.9050,13,11.9769,0,6.1285,0,18.9541,04/05/2023,"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.",GENERAL,47.33(c)(1),CORRECTED,
"UTOPIA CHILDREN'S  CENTER, INC.","UTOPIA CHILDREN'S CENTER, INC.",236,WEST 129 STREET,MANHATTAN,10027,212-663-7375,1594,09/29/2023,Permitted,2 YEARS - 5 YEARS,60,DC1323,PRESCHOOL,GDC,Child Care - Pre School,1081503,,05/01/2002,N,40.0000,21.9050,6,11.9769,0,6.1285,40,18.9541,03/09/2023,There were no new violations observed at the time of this inspection/visit.,,,N/A,Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection
BRIGHT HORIZONS AT DUMBO,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC.",60,WATER ST,BROOKLYN,11201,332-255-8599,104725,01/31/2025,Permitted,2 YEARS - 5 YEARS,86,DC37595,PRESCHOOL,GDC,Child Care - Pre School,3398406,www.brighthorizons.com,01/31/2019,Y,0.0000,21.9050,11,11.9769,0,6.1285,0,18.9541,05/24/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
ST. ALBANS VACATION BIBLE SCHOOL,THE PRESBYTERIAN CHURCH OF ST. ALBANS,190-04,119 AVENUE,QUEENS,11412,347-551-2448,34594,09/15/2019,Expired-In Renewal,0 YEARS - 16 YEARS,31,DC23546,ALL AGE CAMP,Camp,Camp,4272513,www.preschurch.org,07/01/2013,N,,,0,1.0000,,,,,,,,,,
CASTLETON HILL MORAVIAN CHURCH PRESCHOOL,UNITED BRETHREN'S CHURCH ON STATEN ISLAND,1657,VICTORY BOULEVARD,STATEN ISLAND,10314,718-442-5350,5125,10/20/2024,Permitted,2 YEARS - 5 YEARS,94,DC2811,PRESCHOOL,GDC,Child Care - Pre School,5089758,www.castletonhillpreschool.com,10/20/2004,N,16.6667,21.9050,19,11.9769,0,6.1285,16.6667,18.9541,10/27/2021,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,GENERAL,47.33(b),CORRECTED,Initial Annual Inspection - Reinspection Required; Violations corrected at time of inspection
CASTLETON HILL MORAVIAN CHURCH PRESCHOOL,UNITED BRETHREN'S CHURCH ON STATEN ISLAND,1657,VICTORY BOULEVARD,STATEN ISLAND,10314,718-442-5350,5125,10/20/2024,Permitted,2 YEARS - 5 YEARS,94,DC2811,PRESCHOOL,GDC,Child Care - Pre School,5089758,www.castletonhillpreschool.com,10/20/2004,N,16.6667,21.9050,19,11.9769,0,6.1285,16.6667,18.9541,10/27/2021,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,GENERAL,47.33(b),CORRECTED,Initial Annual Inspection - Reinspection Required; Violations corrected at time of inspection
THE NURTURING ACADEMY  INFANT/TODDLER,THE NURTURING CENTER INC.,112-18,SPRINGFIELD BLVD,QUEENS,11429,718-527-5932,8341,11/17/2024,Permitted,0 YEARS - 2 YEARS,36,DC21073,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,4240268,,11/17/2010,Y,33.3333,17.4391,16,8.4034,33.3333,4.9984,33.3333,15.3835,02/17/2022,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41(j),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
KIDZ KORNER DAY CARE,KIDZ KORNER INC.,2422,RALPH AVENUE,BROOKLYN,11234,718-676-5200,7311,09/30/2022,Expired-In Renewal,2 YEARS - 5 YEARS,25,DC308,PRESCHOOL,GDC,Child Care - Pre School,3221460,,07/30/2003,Y,16.6667,21.9050,7,11.9769,16.6667,6.1285,0,18.9541,06/08/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
Aleph Daycare Inc,Aleph Daycare Inc,975,E 13TH ST,BROOKLYN,11230,718-946-9833,105519,09/30/2023,Permitted,2 YEARS - 5 YEARS,105,DC40221,PRESCHOOL,GDC,Child Care - Pre School,3179572,,09/30/2021,Y,0.0000,21.9050,7,11.9769,0,6.1285,0,18.9541,09/15/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
A KIDS SPACE TO DREAM CHILDCARE,KIDS SPACE BRONX CHILDCARE INC,578,E 138TH ST,BRONX,10454,917-635-9709,105642,05/19/2024,Permitted,2 YEARS - 5 YEARS,60,DC40807,PRESCHOOL,GDC,Child Care - Pre School,2092841,,05/19/2022,Y,100.0000,21.9050,14,11.9769,100,6.1285,100,18.9541,02/22/2022,At time of inspection lavatory facilities failed to be provided with child high/accessible toilets and sinks.,CRITICAL,47.43(f),CORRECTED,
GIFTED & TALENTED EARLY DEVELOPERS,"GIFTED AND TALENTED EARLY DEVELOPERS, LLC",1621,CHURCH AVENUE,BROOKLYN,11226,718-693-3699,85077,04/13/2023,Expired-In Renewal,2 YEARS - 5 YEARS,47,DC21986,PRESCHOOL,GDC,Child Care - Pre School,3116477,,04/13/2015,Y,25.0000,21.9050,12,11.9769,0,6.1285,25,18.9541,01/27/2023,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45(b),CORRECTED,Initial Annual Inspection - Reinspection Required
GIFTED & TALENTED EARLY DEVELOPERS,"GIFTED AND TALENTED EARLY DEVELOPERS, LLC",1621,CHURCH AVENUE,BROOKLYN,11226,718-693-3699,85077,04/13/2023,Expired-In Renewal,2 YEARS - 5 YEARS,47,DC21986,PRESCHOOL,GDC,Child Care - Pre School,3116477,,04/13/2015,Y,25.0000,21.9050,12,11.9769,0,6.1285,25,18.9541,01/27/2023,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45(b),CORRECTED,Initial Annual Inspection - Reinspection Required
GIFTED & TALENTED EARLY DEVELOPERS,"GIFTED AND TALENTED EARLY DEVELOPERS, LLC",1621,CHURCH AVENUE,BROOKLYN,11226,718-693-3699,85077,04/13/2023,Expired-In Renewal,2 YEARS - 5 YEARS,47,DC21986,PRESCHOOL,GDC,Child Care - Pre School,3116477,,04/13/2015,Y,25.0000,21.9050,12,11.9769,0,6.1285,25,18.9541,01/27/2023,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45(b),CORRECTED,Initial Annual Inspection - Reinspection Required
"READY, SET, GROW! CHILD CARE CENTER, L.L.C","READY, SET, GROW! CHILD CARE CENTER L.L.C.",136-16,31 ROAD,QUEENS,11354,718-888-7871,8284,03/28/2025,Permitted,,73,DC21750,PRESCHOOL,GDC,Child Care - Pre School,4308655,,03/28/2011,Y,40.0000,21.9050,7,11.9769,40,6.1285,20,18.9541,01/19/2023,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
OUR KIDS PLACE COUNTRY DAY INC.,OUR KIDS PLACE COUNTRY DAY INC,137-25,BROOKVILLE BLVD,QUEENS,11422,718-276-3722,54337,11/20/2023,Permitted,2 YEARS - 5 YEARS,108,DC22806,PRESCHOOL,GDC,Child Care - Pre School,4438946,www.ourkidsplacecares.com,11/20/2013,Y,20.0000,21.9050,19,11.9769,0,6.1285,20,18.9541,03/03/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
CANARSIE CHILDREN FIRST ACADEMY,Faith Children First Academy,3231,STEUBEN AVENUE,BRONX,10467,718-676-6260,,01/01/1900,Active,3 YEARS - 5 YEARS,0,DC37690,PRESCHOOL,SBCC,School Based Child Care,2017732,www.facebook.com/ccfacademy,,,100.0000,45.1817,8,8.0094,50,23.3017,100,35.2291,12/20/2022,"Each staff member has documentation showing they received 2 doses measles/mumps vaccine, 1 dose rubella vaccine, 2 doses varicella vaccine and 1 dose Tdap",GENERAL,43.11(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
CANARSIE CHILDREN FIRST ACADEMY,Faith Children First Academy,3231,STEUBEN AVENUE,BRONX,10467,718-676-6260,,01/01/1900,Active,3 YEARS - 5 YEARS,0,DC37690,PRESCHOOL,SBCC,School Based Child Care,2017732,www.facebook.com/ccfacademy,,,100.0000,45.1817,8,8.0094,50,23.3017,100,35.2291,12/20/2022,"Each staff member has documentation showing they received 2 doses measles/mumps vaccine, 1 dose rubella vaccine, 2 doses varicella vaccine and 1 dose Tdap",GENERAL,43.11(c)(1),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
RENAISSANCE VILLAGE LLC.,RENAISSANCE VILLAGE LLC.,220,CABRINI BOULEVARD,MANHATTAN,10033,212-928-7855,7707,02/02/2023,Expired-In Renewal,2 YEARS - 5 YEARS,29,DC16889,PRESCHOOL,GDC,Child Care - Pre School,1064369,WWW.RENVILLAGE.COM,02/02/2007,Y,40.0000,21.9050,9,11.9769,0,6.1285,40,18.9541,03/08/2023,"Training in SIDS, Shaken Baby Syndrome and Safe Sleep practices Not provided to staff",CRITICAL,47.37(b)(4),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
SHINING SMILES DAYCARE 1 INC.,SHINING SMILES DAYCARE 1 INC,882,FULTON ST,BROOKLYN,11238,929-227-3100,104940,07/09/2023,Permitted,2 YEARS - 5 YEARS,59,DC37545,PRESCHOOL,GDC,Child Care - Pre School,3000000,www.nycshiningsmiles.com,07/09/2019,Y,33.3333,21.9050,11,11.9769,0,6.1285,33.3333,18.9541,03/23/2023,There were no new violations observed at the time of this inspection/visit.,,,N/A,
BEANSTALK CHILD CARE ACADEMY,"NYC EARLY LEARNING COMPANY, INC",950,Westchester Avenue,BRONX,10459,718-991-5465,104872,06/13/2023,Permitted,2 YEARS - 5 YEARS,108,DC36656,PRESCHOOL,GDC,Child Care - Pre School,2114693,,06/13/2019,Y,50.0000,21.9050,76,11.9769,0,6.1285,50,18.9541,04/07/2022,Child care service fails to store dry goods in insect/rodent proof containers at time of inspection.,CRITICAL,47.61(e),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
BEANSTALK CHILD CARE ACADEMY,"NYC EARLY LEARNING COMPANY, INC",950,Westchester Avenue,BRONX,10459,718-991-5465,104872,06/13/2023,Permitted,2 YEARS - 5 YEARS,108,DC36656,PRESCHOOL,GDC,Child Care - Pre School,2114693,,06/13/2019,Y,50.0000,21.9050,76,11.9769,0,6.1285,50,18.9541,04/07/2022,Child care service fails to store dry goods in insect/rodent proof containers at time of inspection.,CRITICAL,47.61(e),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
BEANSTALK CHILD CARE ACADEMY,"NYC EARLY LEARNING COMPANY, INC",950,Westchester Avenue,BRONX,10459,718-991-5465,104872,06/13/2023,Permitted,2 YEARS - 5 YEARS,108,DC36656,PRESCHOOL,GDC,Child Care - Pre School,2114693,,06/13/2019,Y,50.0000,21.9050,76,11.9769,0,6.1285,50,18.9541,04/07/2022,Child care service fails to store dry goods in insect/rodent proof containers at time of inspection.,CRITICAL,47.61(e),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
BEANSTALK CHILD CARE ACADEMY,"NYC EARLY LEARNING COMPANY, INC",950,Westchester Avenue,BRONX,10459,718-991-5465,104872,06/13/2023,Permitted,2 YEARS - 5 YEARS,108,DC36656,PRESCHOOL,GDC,Child Care - Pre School,2114693,,06/13/2019,Y,50.0000,21.9050,76,11.9769,0,6.1285,50,18.9541,04/07/2022,Child care service fails to store dry goods in insect/rodent proof containers at time of inspection.,CRITICAL,47.61(e),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
BSDC INC,BSDC INC,66-07,ALDERTON STREET,QUEENS,11374,718-440-9919,105851,10/03/2024,Permitted,0 YEARS - 2 YEARS,15,DC41829,INFANT TODDLER,GDC,Child Care - Infants/Toddlers,4461930,,10/03/2022,Y,0.0000,17.4391,6,8.4034,0,4.9984,0,15.3835,12/21/2022,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,GENERAL,47.33(b),CORRECTED,Initial Annual Inspection - Reinspection Not Required
JOYFUL TOTS DAYCARE CENTER INC.,JOYFUL TOTS DAYCARE CENTER INC,265,LOTT AVENUE,BROOKLYN,11212,718-342-4225,55858,01/09/2024,Permitted,2 YEARS - 5 YEARS,48,DC25976,PRESCHOOL,GDC,Child Care - Pre School,3085658,,01/09/2014,Y,0.0000,21.9050,4,11.9769,0,6.1285,0,18.9541,02/14/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
UP THE LADDER CORP,UP THE LADDER CORP,80-11,101 AVENUE,QUEENS,11416,718-843-4913,7407,07/08/2023,Permitted,2 YEARS - 5 YEARS,28,DC14407,PRESCHOOL,GDC,Child Care - Pre School,4188129,,08/17/2005,Y,25.0000,21.9050,3,11.9769,25,6.1285,0,18.9541,03/16/2023,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,47.19(c)(1),OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
CHAI TOTS,"The Rabbinical Committee of Brownstone Brooklyn (Chabad of Park Slope), Inc.",70,PROSPECT PARK WEST,BROOKLYN,11215,718-499-0836,7013,04/18/2024,Permitted,,37,DC1554,PRESCHOOL,GDC,Child Care - Pre School,3025377,CHAITOTSPRESCHOOL.COM,07/25/2002,N,0.0000,21.9050,18,11.9769,0,6.1285,0,18.9541,02/03/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
SALVE REGINA CATHOLIC ACADEMY,SALVE REGINA CATHOLIC ACADEMY,237,JEROME STREET,BROOKLYN,11207,718-277-9000,,08/29/2117,Active,3 YEARS - 5 YEARS,0,DC22510,PRESCHOOL,SBCC,School Based Child Care,3327110,,,,0.0000,45.1817,9,8.0094,0,23.3017,0,35.2291,12/14/2021,School-based child care staff observed caring for children while unhealthy. Staff medical certificate of fitness Not provided.,GENERAL,43.11(b),OPEN,Initial Annual Inspection - Reinspection Not Required
BRIGHT FUTURE KIDDIE 4,BRIGHT FUTURE KIDDIE4 LLC,3952,3RD AVE,BRONX,10457,347-963-4073,105592,02/04/2024,Permitted,2 YEARS - 5 YEARS,25,DC40549,PRESCHOOL,GDC,Child Care - Pre School,2119684,,02/04/2022,Y,100.0000,21.9050,9,11.9769,50,6.1285,100,18.9541,08/24/2022,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23(e),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
XCEL TINY TOTS,XCEL TINY TOTS INC.,113-15,SPRINGFIELD BLVD.,QUEENS,11429,718-740-2557,7641,09/17/2024,Permitted,,88,DC15217,PRESCHOOL,GDC,Child Care - Pre School,4242036,,09/18/2006,Y,75.0000,21.9050,15,11.9769,0,6.1285,75,18.9541,10/04/2021,There were no new violations observed at the time of this inspection/visit.,,,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations
MAGIC KINGDOM,MAGIC KINGDOM LLC.,5215,CHURCH AVENUE,BROOKLYN,11203,929-234-2451,14118,09/08/2022,Expired-In Renewal,2 YEARS - 5 YEARS,30,DC22420,PRESCHOOL,GDC,Child Care - Pre School,3102219,,02/07/2013,N,100.0000,21.9050,11,11.9769,0,6.1285,100,18.9541,03/16/2022,Enrolled children 6 months to 59 months have Not received FDA approved annual influenza immunization by December 31 of the year,CRITICAL,47.25(a)(2)(B),CORRECTED,
MAGIC KINGDOM,MAGIC KINGDOM LLC.,5215,CHURCH AVENUE,BROOKLYN,11203,929-234-2451,14118,09/08/2022,Expired-In Renewal,2 YEARS - 5 YEARS,30,DC22420,PRESCHOOL,GDC,Child Care - Pre School,3102219,,02/07/2013,N,100.0000,21.9050,11,11.9769,0,6.1285,100,18.9541,03/16/2022,Enrolled children 6 months to 59 months have Not received FDA approved annual influenza immunization by December 31 of the year,CRITICAL,47.25(a)(2)(B),CORRECTED,
MAGIC KINGDOM,MAGIC KINGDOM LLC.,5215,CHURCH AVENUE,BROOKLYN,11203,929-234-2451,14118,09/08/2022,Expired-In Renewal,2 YEARS - 5 YEARS,30,DC22420,PRESCHOOL,GDC,Child Care - Pre School,3102219,,02/07/2013,N,100.0000,21.9050,11,11.9769,0,6.1285,100,18.9541,03/16/2022,Enrolled children 6 months to 59 months have Not received FDA approved annual influenza immunization by December 31 of the year,CRITICAL,47.25(a)(2)(B),CORRECTED,
MAGIC KINGDOM,MAGIC KINGDOM LLC.,5215,CHURCH AVENUE,BROOKLYN,11203,929-234-2451,14118,09/08/2022,Expired-In Renewal,2 YEARS - 5 YEARS,30,DC22420,PRESCHOOL,GDC,Child Care - Pre School,3102219,,02/07/2013,N,100.0000,21.9050,11,11.9769,0,6.1285,100,18.9541,03/16/2022,Enrolled children 6 months to 59 months have Not received FDA approved annual influenza immunization by December 31 of the year,CRITICAL,47.25(a)(2)(B),CORRECTED,
MAGIC KINGDOM,MAGIC KINGDOM LLC.,5215,CHURCH AVENUE,BROOKLYN,11203,929-234-2451,14118,09/08/2022,Expired-In Renewal,2 YEARS - 5 YEARS,30,DC22420,PRESCHOOL,GDC,Child Care - Pre School,3102219,,02/07/2013,N,100.0000,21.9050,11,11.9769,0,6.1285,100,18.9541,03/16/2022,Enrolled children 6 months to 59 months have Not received FDA approved annual influenza immunization by December 31 of the year,CRITICAL,47.25(a)(2)(B),CORRECTED,
"NICHOLAS CARDELL DAY CARE CENTER, INC.","NICHOLAS CARDELL DAY CARE CENTER, INC.",84,VERMILYEA AVENUE,MANHATTAN,10034,212-942-6757,3081,03/10/2024,Permitted,,50,DC3022,PRESCHOOL,GDC,Child Care - Pre School,1064905,,09/11/2003,N,0.0000,21.9050,7,11.9769,0,6.1285,0,18.9541,05/16/2022,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
"THE COLLEGE OF STATEN ISLAND ASSOCIATON, INC.","THE COLLEGE OF STATEN ISLAND ASSOCIATION, INC.",2800E,VICTORY BOULEVARD,STATEN ISLAND,10314,718-982-3190,6174,05/02/2024,Permitted,2 YEARS - 5 YEARS,75,DC2736,PRESCHOOL,GDC,Child Care - Pre School,5107289,www.csi.cuny.edu/childcare,08/28/1995,Y,0.0000,21.9050,9,11.9769,0,6.1285,0,18.9541,09/17/2020,There were no new violations observed at the time of this inspection/visit.,,,N/A,Initial Annual Inspection - Passed inspection with no violations
